Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage entre les classes,Couverture des tests,Dette technique,Nombre de défauts,Lisibilité du code,Nombre de lignes vides,Nombre de lignes de code en majuscules,Nombre d'occurrences de 'TODO',Méthode Longue,Spaghetti Code,Message Chains,Couplage Élevé,Large Class
C:/Users/norhe/pfaa\AmazeFileManager\app\src\debug\res\xml-v25\shortcuts.xml,46,0.0,0,0,0,0,0,0,5,0,0,1,0,47,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\amaze\filemanager\asynchronous\asynctasks\CloudLoaderAsyncTask.java,59,0.0,0,0,0,0,0,0,12,13,0,1,0,60,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\amaze\filemanager\filesystem\compressed\extractcontents\helpers\RarExtractor.kt,33,0.0,0,0,0,0,0,0,4,13,0,1,0,34,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\amaze\filemanager\filesystem\compressed\showcontents\helpers\RarDecompressor.kt,31,0.0,0,0,0,0,0,0,5,13,0,1,0,32,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\amaze\filemanager\utils\Billing.java,29,0.0,0,0,0,0,0,0,7,13,0,1,0,30,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\amaze\filemanager\utils\PackageInstallValidation.kt,38,0.0,0,0,0,0,0,0,5,13,0,1,0,39,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\CloudRail.java,24,0.0,0,0,0,0,0,0,5,13,0,1,0,25,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\interfaces\CloudStorage.java,62,0.0,0,0,0,0,0,0,23,13,0,1,0,63,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\services\Box.java,26,0.0,0,0,0,0,0,0,5,13,0,1,0,27,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\services\Dropbox.java,26,0.0,0,0,0,0,0,0,6,13,0,1,0,27,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\services\GoogleDrive.java,27,0.0,0,0,0,0,0,0,5,13,0,1,0,28,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\services\OneDrive.java,26,0.0,0,0,0,0,0,0,5,13,0,1,0,27,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\types\CloudMetaData.java,39,0.0,0,0,0,0,0,0,8,13,0,1,0,40,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\cloudrail\si\types\SpaceAllocation.java,27,0.0,0,0,0,0,0,0,4,13,0,1,0,28,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\fdroid\java\com\github\junrar\exception\UnsupportedRarV5Exception.java,25,0.0,0,0,0,0,0,0,4,13,0,1,0,26,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\AndroidManifest.xml,289,0.0,0,0,0,0,0,0,40,53,0,1,0,290,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\assets\logback.xml,29,0.0,0,0,0,0,0,0,3,9,0,1,0,30,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\AmazeFileManagerModule.java,37,0.0,0,0,0,0,0,0,5,14,0,1,0,38,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\LogHelper.java,32,0.0,0,0,0,0,0,0,6,16,0,1,0,33,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\TagsHelper.java,26,0.0,0,0,0,0,0,0,4,13,0,1,0,27,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\AppsRecyclerAdapter.kt,537,0.0,0,0,0,0,0,0,24,50,1,1,0,538,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\ColorAdapter.java,78,0.0,0,0,0,0,0,0,16,16,0,1,0,79,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\CompressedExplorerAdapter.java,333,0.0,0,0,0,0,0,0,46,44,2,1,0,334,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\HiddenAdapter.kt,125,0.0,0,0,0,0,0,0,10,20,1,1,0,126,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\RecyclerAdapter.java,1421,0.0,0,0,0,0,0,0,172,204,4,1,1,1422,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\SearchRecyclerViewAdapter.kt,124,0.0,0,0,0,0,0,0,19,18,0,1,0,125,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\AppDataParcelable.kt,35,0.0,0,0,0,0,0,0,4,13,0,1,0,36,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\AppDataSorter.kt,63,0.0,0,0,0,0,0,0,7,13,0,1,0,64,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\CompressedObjectParcelable.java,144,0.0,0,0,0,0,0,0,20,14,0,1,0,145,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\IconDataParcelable.java,83,0.0,0,0,0,0,0,0,16,14,0,1,0,84,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\LayoutElementParcelable.java,271,0.0,0,0,0,0,0,0,29,32,1,1,0,272,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\OpenFileParcelable.kt,30,0.0,0,0,0,0,0,0,4,13,0,1,0,31,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\data\StorageDirectoryParcelable.kt,59,0.0,0,0,0,0,0,0,8,14,0,1,0,60,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\AppsAdapterPreloadModel.java,87,0.0,0,0,0,0,0,0,16,17,0,1,0,88,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\RecyclerPreloadModelProvider.java,68,0.0,0,0,0,0,0,0,12,14,0,1,0,69,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\RecyclerPreloadSizeProvider.java,83,0.0,0,0,0,0,0,0,16,13,0,1,0,84,0,0
